iter	Passed	Remaining
0	123	123434
1	127	63717
2	129	43057
3	134	33431
4	135	27035
5	161	26831
6	167	23699
7	169	21038
8	173	19146
9	185	18405
10	188	16941
11	193	15909
12	199	15124
13	239	16873
14	283	18606
15	295	18176
16	300	17382
17	306	16718
18	311	16074
19	326	15981
20	329	15339
21	332	14778
22	338	14362
23	340	13864
24	344	13449
25	350	13126
26	356	12837
27	362	12575
28	389	13029
29	395	12775
30	403	12609
31	453	13716
32	493	14449
33	515	14641
34	547	15103
35	563	15084
36	615	16028
37	624	15800
38	627	15458
39	633	15197
40	637	14910
41	678	15468
42	690	15356
43	715	15550
44	719	15269
45	724	15017
46	727	14757
47	780	15474
48	783	15213
49	792	15061
50	819	15248
51	829	15130
52	832	14880
53	880	15423
54	886	15235
55	891	15026
56	966	15991
57	974	15819
58	1097	17497
59	1101	17259
60	1103	16992
61	1107	16760
62	1110	16517
63	1119	16379
64	1129	16242
65	1134	16060
66	1145	15950
67	1150	15761
68	1167	15757
69	1174	15600
70	1178	15419
71	1181	15231
72	1191	15130
73	1195	14956
74	1202	14833
75	1207	14675
76	1209	14494
77	1211	14323
78	1214	14155
79	1216	13995
80	1222	13870
81	1226	13726
82	1227	13561
83	1232	13443
84	1235	13304
85	1237	13156
86	1245	13069
87	1249	12953
88	1252	12825
89	1255	12693
90	1262	12612
91	1265	12489
92	1268	12366
93	1272	12266
94	1275	12149
95	1278	12039
96	1280	11918
97	1282	11804
98	1286	11711
99	1289	11606
100	1292	11500
101	1294	11398
102	1297	11300
103	1299	11199
104	1303	11108
105	1305	11014
106	1309	10932
107	1314	10856
108	1317	10767
109	1320	10684
110	1323	10598
111	1326	10515
112	1328	10428
113	1330	10343
114	1334	10268
115	1336	10188
116	1339	10108
117	1341	10025
118	1346	9966
119	1349	9895
120	1351	9820
121	1353	9740
122	1355	9666
123	1357	9589
124	1359	9515
125	1361	9443
126	1362	9368
127	1364	9295
128	1366	9229
129	1368	9159
130	1370	9088
131	1372	9027
132	1374	8961
133	1376	8896
134	1380	8847
135	1382	8783
136	1385	8725
137	1386	8663
138	1388	8601
139	1393	8559
140	1395	8500
141	1396	8439
142	1398	8382
143	1400	8324
144	1402	8267
145	1404	8215
146	1406	8162
147	1409	8111
148	1411	8060
149	1412	8006
150	1415	7956
151	1416	7904
152	1418	7851
153	1421	7809
154	1423	7760
155	1425	7712
156	1428	7671
157	1430	7622
158	1431	7574
159	1433	7527
160	1434	7477
161	1436	7429
162	1437	7383
163	1439	7338
164	1441	7293
165	1442	7248
166	1444	7206
167	1446	7163
168	1447	7119
169	1449	7075
170	1451	7035
171	1452	6993
172	1454	6951
173	1455	6909
174	1457	6868
175	1458	6828
176	1460	6790
177	1462	6752
178	1464	6715
179	1466	6679
180	1469	6648
181	1470	6610
182	1472	6572
183	1474	6537
184	1477	6506
185	1478	6470
186	1480	6436
187	1482	6403
188	1484	6370
189	1487	6339
190	1489	6307
191	1491	6275
192	1493	6245
193	1495	6213
194	1497	6181
195	1499	6149
196	1500	6118
197	1502	6085
198	1504	6054
199	1505	6023
200	1507	5992
201	1509	5961
202	1510	5931
203	1512	5900
204	1513	5869
205	1515	5841
206	1518	5818
207	1520	5788
208	1524	5767
209	1526	5743
210	1534	5737
211	1538	5719
212	1542	5699
213	1544	5673
214	1546	5647
215	1548	5621
216	1550	5594
217	1552	5567
218	1562	5572
219	1568	5560
220	1571	5538
221	1574	5516
222	1577	5495
223	1580	5476
224	1587	5467
225	1594	5459
226	1599	5448
227	1601	5423
228	1603	5400
229	1608	5383
230	1617	5384
231	1626	5383
232	1631	5372
233	1637	5361
234	1640	5339
235	1664	5388
236	1680	5409
237	1688	5406
238	1694	5396
239	1703	5394
240	1730	5448
241	1736	5438
242	1743	5430
243	1757	5444
244	1780	5486
245	1785	5471
246	1791	5463
247	1798	5453
248	1802	5435
249	1804	5413
250	1806	5391
251	1810	5373
252	1812	5351
253	1817	5337
254	1820	5318
255	1823	5298
256	1826	5281
257	1835	5279
258	1839	5262
259	1842	5244
260	1846	5228
261	1848	5207
262	1854	5197
263	1857	5178
264	1861	5162
265	1863	5142
266	1865	5122
267	1869	5105
268	1871	5084
269	1873	5064
270	1876	5046
271	1878	5026
272	1880	5007
273	1882	4986
274	1883	4966
275	1885	4946
276	1887	4926
277	1889	4906
278	1891	4887
279	1893	4868
280	1894	4848
281	1896	4828
282	1898	4811
283	1900	4791
284	1903	4774
285	1905	4757
286	1907	4738
287	1909	4720
288	1911	4703
289	1913	4684
290	1915	4667
291	1917	4650
292	1919	4631
293	1920	4612
294	1922	4595
295	1924	4577
296	1926	4560
297	1929	4544
298	1930	4526
299	1932	4509
300	1934	4493
301	1936	4476
302	1938	4458
303	1940	4442
304	1943	4428
305	1945	4411
306	1947	4395
307	1949	4379
308	1950	4362
309	1953	4347
310	1954	4330
311	1956	4314
312	1958	4299
313	1960	4283
314	1962	4267
315	1964	4251
316	1966	4236
317	1968	4221
318	1970	4206
319	1972	4190
320	1973	4175
321	1975	4159
322	1977	4145
323	1979	4130
324	1981	4114
325	1987	4108
326	1989	4094
327	1991	4080
328	1993	4065
329	1996	4052
330	1998	4039
331	2000	4025
332	2003	4012
333	2004	3997
334	2007	3985
335	2018	3988
336	2022	3978
337	2026	3969
338	2035	3968
339	2039	3958
340	2041	3944
341	2044	3933
342	2047	3921
343	2049	3907
344	2052	3896
345	2054	3883
346	2057	3871
347	2059	3858
348	2060	3844
349	2063	3831
350	2064	3817
351	2066	3804
352	2068	3791
353	2071	3779
354	2073	3766
355	2076	3756
356	2078	3743
357	2079	3730
358	2082	3718
359	2084	3705
360	2086	3692
361	2088	3680
362	2089	3666
363	2091	3653
364	2092	3641
365	2094	3628
366	2096	3615
367	2097	3601
368	2098	3588
369	2100	3576
370	2101	3563
371	2103	3550
372	2104	3538
373	2106	3526
374	2108	3513
375	2109	3500
376	2110	3488
377	2112	3475
378	2113	3463
379	2115	3450
380	2116	3438
381	2117	3426
382	2119	3414
383	2120	3401
384	2121	3389
385	2123	3377
386	2124	3365
387	2126	3353
388	2127	3341
389	2128	3329
390	2130	3318
391	2131	3306
392	2133	3294
393	2134	3283
394	2135	3271
395	2137	3260
396	2138	3248
397	2140	3237
398	2141	3226
399	2143	3214
400	2144	3203
401	2145	3191
402	2147	3180
403	2148	3169
404	2149	3158
405	2151	3147
406	2152	3136
407	2153	3125
408	2155	3114
409	2156	3102
410	2157	3092
411	2158	3081
412	2160	3070
413	2161	3059
414	2162	3048
